time,enrolled,available,waitlisted,total
2022-11-05T20:11:09,0,240,0,240
2022-11-05T20:20:26,0,240,0,240
2022-11-05T20:29:43,0,240,0,240
2022-11-05T20:39:10,0,240,0,240
2022-11-05T20:48:27,0,240,0,240
2022-11-05T20:57:43,0,240,0,240
2022-11-05T21:06:58,0,240,0,240
2022-11-05T21:16:13,0,240,0,240
2022-11-05T21:25:28,0,240,0,240
2022-11-05T21:34:44,0,240,0,240
2022-11-05T21:44:01,0,240,0,240
2022-11-05T21:53:16,0,240,0,240
2022-11-05T22:02:31,0,240,0,240
2022-11-05T22:11:46,0,240,0,240
2022-11-05T22:21:02,0,240,0,240
2022-11-05T22:30:17,0,240,0,240
2022-11-05T22:39:35,0,240,0,240
2022-11-05T22:48:51,0,240,0,240
2022-11-05T22:58:06,0,240,0,240
2022-11-05T23:07:23,0,240,0,240
2022-11-05T23:16:39,0,240,0,240
2022-11-05T23:25:55,0,240,0,240
2022-11-05T23:35:13,0,240,0,240
2022-11-05T23:44:29,0,240,0,240
2022-11-05T23:53:46,0,240,0,240
2022-11-06T00:03:01,0,240,0,240
2022-11-06T00:12:27,0,240,0,240
2022-11-06T00:21:42,0,240,0,240
2022-11-06T00:30:58,0,240,0,240
2022-11-06T00:40:13,0,240,0,240
2022-11-06T00:49:29,0,240,0,240
2022-11-06T00:58:44,0,240,0,240
2022-11-06T01:07:59,0,240,0,240
2022-11-06T01:17:15,0,240,0,240
2022-11-06T01:26:31,0,240,0,240
2022-11-06T01:35:47,0,240,0,240
2022-11-06T01:45:03,0,240,0,240
2022-11-06T01:54:19,0,240,0,240
2022-11-06T01:03:35,0,240,0,240
2022-11-06T01:12:52,0,240,0,240
2022-11-06T01:22:07,0,240,0,240
2022-11-06T01:31:24,0,240,0,240
2022-11-06T01:40:38,0,240,0,240
2022-11-06T01:49:56,0,240,0,240
2022-11-06T01:59:15,0,240,0,240
2022-11-06T02:08:33,0,240,0,240
2022-11-06T02:17:52,0,240,0,240
2022-11-06T02:27:12,0,240,0,240
2022-11-06T02:36:32,0,240,0,240
2022-11-06T02:45:51,0,240,0,240
2022-11-06T02:55:10,0,240,0,240
2022-11-06T03:04:29,0,240,0,240
2022-11-06T03:13:46,0,240,0,240
2022-11-06T03:23:03,0,240,0,240
2022-11-06T03:32:20,0,240,0,240
2022-11-06T03:41:40,0,240,0,240
2022-11-06T03:51:00,0,240,0,240
2022-11-06T04:00:19,0,240,0,240
2022-11-06T04:15:37,0,240,0,240
2022-11-06T04:24:58,0,240,0,240
2022-11-06T04:34:17,0,240,0,240
2022-11-06T04:43:55,0,240,0,240
2022-11-06T04:54:20,0,240,0,240
2022-11-06T05:03:38,0,240,0,240
2022-11-06T05:12:55,0,240,0,240
2022-11-06T05:22:11,0,240,0,240
2022-11-06T05:31:28,0,240,0,240
2022-11-06T05:40:44,0,240,0,240
2022-11-06T05:50:00,0,240,0,240
2022-11-06T05:59:18,0,240,0,240
2022-11-06T06:08:37,0,240,0,240
2022-11-06T06:17:56,0,240,0,240
2022-11-06T06:27:13,0,240,0,240
2022-11-06T06:36:29,0,240,0,240
2022-11-06T06:45:45,0,240,0,240
2022-11-06T06:55:01,0,240,0,240
2022-11-06T07:04:18,0,240,0,240
2022-11-06T07:13:35,0,240,0,240
2022-11-06T07:22:52,0,240,0,240
2022-11-06T07:32:10,0,240,0,240
2022-11-06T07:41:29,0,240,0,240
2022-11-06T07:50:47,0,240,0,240
2022-11-06T08:00:03,0,240,0,240
2022-11-06T08:09:20,0,240,0,240
2022-11-06T08:18:37,0,240,0,240
2022-11-06T08:27:55,0,240,0,240
2022-11-06T08:37:11,0,240,0,240
2022-11-06T08:46:28,0,240,0,240
2022-11-06T08:55:45,0,240,0,240
2022-11-06T09:05:01,0,240,0,240
2022-11-06T09:14:16,0,240,0,240
2022-11-06T09:23:30,0,240,0,240
2022-11-06T09:32:43,0,240,0,240
2022-11-06T09:41:58,0,240,0,240
2022-11-06T09:51:12,0,240,0,240
2022-11-06T10:00:25,0,240,0,240
2022-11-06T10:09:39,0,240,0,240
2022-11-06T10:18:52,0,240,0,240
2022-11-06T10:28:06,0,240,0,240
2022-11-06T10:37:23,0,240,0,240
2022-11-06T10:46:37,0,240,0,240
2022-11-06T10:55:52,0,240,0,240
2022-11-06T11:05:07,0,240,0,240
2022-11-06T11:14:22,0,240,0,240
2022-11-06T11:23:39,0,240,0,240
2022-11-06T11:33:01,0,240,0,240
2022-11-06T11:42:18,0,240,0,240
2022-11-06T11:51:32,0,240,0,240
2022-11-06T12:00:46,0,240,0,240
2022-11-06T12:10:00,0,240,0,240
