time,enrolled,available,waitlisted,total
2022-11-05T20:11:21,0,100,0,100
2022-11-05T20:20:39,0,100,0,100
2022-11-05T20:29:56,0,100,0,100
2022-11-05T20:39:23,0,100,0,100
2022-11-05T20:48:40,0,100,0,100
2022-11-05T20:57:55,0,100,0,100
2022-11-05T21:07:11,0,100,0,100
2022-11-05T21:16:26,0,100,0,100
2022-11-05T21:25:42,0,100,0,100
2022-11-05T21:34:57,0,100,0,100
2022-11-05T21:44:13,0,100,0,100
2022-11-05T21:53:29,0,100,0,100
2022-11-05T22:02:44,0,100,0,100
2022-11-05T22:11:59,0,100,0,100
2022-11-05T22:21:14,0,100,0,100
2022-11-05T22:30:29,0,100,0,100
2022-11-05T22:39:47,0,100,0,100
2022-11-05T22:49:03,0,100,0,100
2022-11-05T22:58:19,0,100,0,100
2022-11-05T23:07:35,0,100,0,100
2022-11-05T23:16:51,0,100,0,100
2022-11-05T23:26:07,0,100,0,100
2022-11-05T23:35:26,0,100,0,100
2022-11-05T23:44:42,0,100,0,100
2022-11-05T23:53:58,0,100,0,100
2022-11-06T00:03:13,0,100,0,100
2022-11-06T00:12:39,0,100,0,100
2022-11-06T00:21:55,0,100,0,100
2022-11-06T00:31:11,0,100,0,100
2022-11-06T00:40:26,0,100,0,100
2022-11-06T00:49:42,0,100,0,100
2022-11-06T00:58:57,0,100,0,100
2022-11-06T01:08:12,0,100,0,100
2022-11-06T01:17:27,0,100,0,100
2022-11-06T01:26:44,0,100,0,100
2022-11-06T01:36:00,0,100,0,100
2022-11-06T01:45:15,0,100,0,100
2022-11-06T01:54:31,0,100,0,100
2022-11-06T01:03:48,0,100,0,100
2022-11-06T01:13:04,0,100,0,100
2022-11-06T01:22:20,0,100,0,100
2022-11-06T01:31:36,0,100,0,100
2022-11-06T01:40:51,0,100,0,100
2022-11-06T01:50:08,0,100,0,100
2022-11-06T01:59:28,0,100,0,100
2022-11-06T02:08:46,0,100,0,100
2022-11-06T02:18:05,0,100,0,100
2022-11-06T02:27:25,0,100,0,100
2022-11-06T02:36:45,0,100,0,100
2022-11-06T02:46:04,0,100,0,100
2022-11-06T02:55:23,0,100,0,100
2022-11-06T03:04:41,0,100,0,100
2022-11-06T03:13:59,0,100,0,100
2022-11-06T03:23:15,0,100,0,100
2022-11-06T03:32:33,0,100,0,100
2022-11-06T03:41:53,0,100,0,100
2022-11-06T03:51:12,0,100,0,100
2022-11-06T04:00:32,0,100,0,100
2022-11-06T04:15:50,0,100,0,100
2022-11-06T04:25:11,0,100,0,100
2022-11-06T04:34:30,0,100,0,100
2022-11-06T04:44:18,0,100,0,100
2022-11-06T04:54:32,0,100,0,100
2022-11-06T05:03:50,0,100,0,100
2022-11-06T05:13:08,0,100,0,100
2022-11-06T05:22:24,0,100,0,100
2022-11-06T05:31:41,0,100,0,100
2022-11-06T05:40:57,0,100,0,100
2022-11-06T05:50:13,0,100,0,100
2022-11-06T05:59:30,0,100,0,100
2022-11-06T06:08:50,0,100,0,100
2022-11-06T06:18:08,0,100,0,100
2022-11-06T06:27:25,0,100,0,100
2022-11-06T06:36:42,0,100,0,100
2022-11-06T06:45:58,0,100,0,100
2022-11-06T06:55:13,0,100,0,100
2022-11-06T07:04:30,0,100,0,100
2022-11-06T07:13:48,0,100,0,100
2022-11-06T07:23:05,0,100,0,100
2022-11-06T07:32:23,0,100,0,100
2022-11-06T07:41:41,0,100,0,100
2022-11-06T07:51:00,0,100,0,100
2022-11-06T08:00:16,0,100,0,100
2022-11-06T08:09:33,0,100,0,100
2022-11-06T08:18:50,0,100,0,100
2022-11-06T08:28:07,0,100,0,100
2022-11-06T08:37:24,0,100,0,100
2022-11-06T08:46:40,0,100,0,100
2022-11-06T08:55:58,0,100,0,100
2022-11-06T09:05:14,0,100,0,100
2022-11-06T09:14:28,0,100,0,100
2022-11-06T09:23:43,0,100,0,100
2022-11-06T09:32:56,0,100,0,100
2022-11-06T09:42:10,0,100,0,100
2022-11-06T09:51:24,0,100,0,100
2022-11-06T10:00:38,0,100,0,100
2022-11-06T10:09:51,0,100,0,100
2022-11-06T10:19:05,0,100,0,100
2022-11-06T10:28:18,0,100,0,100
2022-11-06T10:37:35,0,100,0,100
2022-11-06T10:46:50,0,100,0,100
